trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99980000666657776}",20,10,15.5079920634981,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.99920010666097792}",20,0,-92.38401294163032,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.99820053993520419}",30,0,-196.54405538553428,"{0: 14, 1: 3, 2: 9, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.99680170630261944}",25,0,-124.78478811780512,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.99500416527802571}",20,0,-46.007038838832784,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.99280863585386625}",20,0,-96.46456859164502,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.99021599621263712}",20,0,-111.96969091298578,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.98722728337562693}",30,0,-165.9278244611936,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.98384369278812145}",25,0,-205.15361816001837,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.98006657784124163}",30,0,-231.92929121878268,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.97589744933060552}",25,0,-138.5435037373958,"{0: 15, 1: 3, 2: 2, 3: 4, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.97133797485202966}",20,0,-50.81653084863942,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.96638997813451322}",30,17,-2.094651258147702,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.96105543831077089}",20,0,-127.03178667836875,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.95533648912560598}",30,0,-96.12485664325195,"{0: 16, 1: 7, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.94923541808244083}",20,0,-33.63483301315929,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.94275466552834619}",20,0,-46.20691931849309,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.93589682367793481}",25,0,-95.26900156891944,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.92866463557651024}",35,26,1.4014327315789725,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-122.38563896843168,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,16,27.199254258196056,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,12,18.14206666971079,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",35,25,15.690583670725175,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,13,13.701192114069269,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,11,16.37794968937326,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,12,10.451099665984932,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,13,11.498472411942231,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,11,15.319680771557431,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,5,21.64713454924409,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,20,20.51424280584261,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
